Subject	Act_Label	tBodyAcc-meanXMean	tBodyAcc-meanXN	tBodyAcc-meanYMean	tBodyAcc-meanYN	tBodyAcc-meanZMean	tBodyAcc-meanZN	tBodyAcc-stdXMean	tBodyAcc-stdXN	tBodyAcc-stdYMean	tBodyAcc-stdYN	tBodyAcc-stdZMean	tBodyAcc-stdZN	tGravityAcc-meanXMean	tGravityAcc-meanXN	tGravityAcc-meanYMean	tGravityAcc-meanYN	tGravityAcc-meanZMean	tGravityAcc-meanZN	tGravityAcc-stdXMean	tGravityAcc-stdXN	tGravityAcc-stdYMean	tGravityAcc-stdYN	tGravityAcc-stdZMean	tGravityAcc-stdZN	tBodyAccJerk-meanXMean	tBodyAccJerk-meanXN	tBodyAccJerk-meanYMean	tBodyAccJerk-meanYN	tBodyAccJerk-meanZMean	tBodyAccJerk-meanZN	tBodyAccJerk-stdXMean	tBodyAccJerk-stdXN	tBodyAccJerk-stdYMean	tBodyAccJerk-stdYN	tBodyAccJerk-stdZMean	tBodyAccJerk-stdZN	tBodyGyro-meanXMean	tBodyGyro-meanXN	tBodyGyro-meanYMean	tBodyGyro-meanYN	tBodyGyro-meanZMean	tBodyGyro-meanZN	tBodyGyro-stdXMean	tBodyGyro-stdXN	tBodyGyro-stdYMean	tBodyGyro-stdYN	tBodyGyro-stdZMean	tBodyGyro-stdZN	tBodyGyroJerk-meanXMean	tBodyGyroJerk-meanXN	tBodyGyroJerk-meanYMean	tBodyGyroJerk-meanYN	tBodyGyroJerk-meanZMean	tBodyGyroJerk-meanZN	tBodyGyroJerk-stdXMean	tBodyGyroJerk-stdXN	tBodyGyroJerk-stdYMean	tBodyGyroJerk-stdYN	tBodyGyroJerk-stdZMean	tBodyGyroJerk-stdZN	tBodyAccMag-meanMean	tBodyAccMag-meanN	tBodyAccMag-stdMean	tBodyAccMag-stdN	tGravityAccMag-meanMean	tGravityAccMag-meanN	tGravityAccMag-stdMean	tGravityAccMag-stdN	tBodyAccJerkMag-meanMean	tBodyAccJerkMag-meanN	tBodyAccJerkMag-stdMean	tBodyAccJerkMag-stdN	tBodyGyroMag-meanMean	tBodyGyroMag-meanN	tBodyGyroMag-stdMean	tBodyGyroMag-stdN	tBodyGyroJerkMag-meanMean	tBodyGyroJerkMag-meanN	tBodyGyroJerkMag-stdMean	tBodyGyroJerkMag-stdN	fBodyAcc-meanXMean	fBodyAcc-meanXN	fBodyAcc-meanYMean	fBodyAcc-meanYN	fBodyAcc-meanZMean	fBodyAcc-meanZN	fBodyAcc-stdXMean	fBodyAcc-stdXN	fBodyAcc-stdYMean	fBodyAcc-stdYN	fBodyAcc-stdZMean	fBodyAcc-stdZN	fBodyAcc-meanFreqXMean	fBodyAcc-meanFreqXN	fBodyAcc-meanFreqYMean	fBodyAcc-meanFreqYN	fBodyAcc-meanFreqZMean	fBodyAcc-meanFreqZN	fBodyAccJerk-meanXMean	fBodyAccJerk-meanXN	fBodyAccJerk-meanYMean	fBodyAccJerk-meanYN	fBodyAccJerk-meanZMean	fBodyAccJerk-meanZN	fBodyAccJerk-stdXMean	fBodyAccJerk-stdXN	fBodyAccJerk-stdYMean	fBodyAccJerk-stdYN	fBodyAccJerk-stdZMean	fBodyAccJerk-stdZN	fBodyAccJerk-meanFreqXMean	fBodyAccJerk-meanFreqXN	fBodyAccJerk-meanFreqYMean	fBodyAccJerk-meanFreqYN	fBodyAccJerk-meanFreqZMean	fBodyAccJerk-meanFreqZN	fBodyGyro-meanXMean	fBodyGyro-meanXN	fBodyGyro-meanYMean	fBodyGyro-meanYN	fBodyGyro-meanZMean	fBodyGyro-meanZN	fBodyGyro-stdXMean	fBodyGyro-stdXN	fBodyGyro-stdYMean	fBodyGyro-stdYN	fBodyGyro-stdZMean	fBodyGyro-stdZN	fBodyGyro-meanFreqXMean	fBodyGyro-meanFreqXN	fBodyGyro-meanFreqYMean	fBodyGyro-meanFreqYN	fBodyGyro-meanFreqZMean	fBodyGyro-meanFreqZN	fBodyAccMag-meanMean	fBodyAccMag-meanN	fBodyAccMag-stdMean	fBodyAccMag-stdN	fBodyAccMag-meanFreqMean	fBodyAccMag-meanFreqN	fBodyBodyAccJerkMag-meanMean	fBodyBodyAccJerkMag-meanN	fBodyBodyAccJerkMag-stdMean	fBodyBodyAccJerkMag-stdN	fBodyBodyAccJerkMag-meanFreqMean	fBodyBodyAccJerkMag-meanFreqN	fBodyBodyGyroMag-meanMean	fBodyBodyGyroMag-meanN	fBodyBodyGyroMag-stdMean	fBodyBodyGyroMag-stdN	fBodyBodyGyroMag-meanFreqMean	fBodyBodyGyroMag-meanFreqN	fBodyBodyGyroJerkMag-meanMean	fBodyBodyGyroJerkMag-meanN	fBodyBodyGyroJerkMag-stdMean	fBodyBodyGyroJerkMag-stdN	fBodyBodyGyroJerkMag-meanFreqMean	fBodyBodyGyroJerkMag-meanFreqN	angle_tBodyAccMean_gravityMean	angle_tBodyAccMean_gravityN	angle_tBodyAccJerkMean_gravityMeanMean	angle_tBodyAccJerkMean_gravityMeanN	angle_tBodyGyroMean_gravityMeanMean	angle_tBodyGyroMean_gravityMeanN	angle_tBodyGyroJerkMean_gravityMeanMean	angle_tBodyGyroJerkMean_gravityMeanN	angle_X_gravityMeanMean	angle_X_gravityMeanN	angle_Y_gravityMeanMean	angle_Y_gravityMeanN	angle_Z_gravityMeanMean	angle_Z_gravityMeanN
3	WALKING_DOWNSTAIRS	0.292423	49	-0.019355	49	-0.116140	49	-0.057410	49	-0.033150	49	-0.362240	49	0.939058	49	-0.228829	49	-0.102353	49	-0.950061	49	-0.946095	49	-0.899944	49	0.072569	49	0.010971	49	-0.002027	49	-0.085801	49	-0.111439	49	-0.571735	49	-0.131573	49	-0.013936	49	0.123827	49	-0.261653	49	-0.546740	49	-0.442308	49	-0.077870	49	-0.039157	49	-0.041619	49	-0.285683	49	-0.680947	49	-0.374605	49	-0.062813	49	-0.041134	49	-0.062813	49	-0.041134	49	-0.205239	49	-0.092632	49	-0.215295	49	-0.245795	49	-0.508568	49	-0.583919	49	-0.042171	49	-0.007700	49	-0.404452	49	-0.065442	49	-0.109722	49	-0.389723	49	-0.325864	49	0.052907	49	-0.056600	49	-0.090671	49	-0.135939	49	-0.529059	49	-0.165443	49	-0.147728	49	-0.613525	49	-0.229599	49	-0.356023	49	-0.274422	49	-0.129067	49	-0.542694	49	-0.302866	49	-0.308630	49	-0.553095	49	-0.548164	49	-0.159889	49	-0.109972	49	0.091007	49	0.028941	49	-0.233849	49	0.043962	49	-0.049478	49	-0.159102	49	0.043497	49	-0.332377	49	-0.322441	49	-0.051670	49	-0.576277	49	-0.624911	49	0.065444	49	-0.047579	49	-0.010849	49	0.313784	49	-0.077284	49	-0.766824	49	0.240927	49	0.093221	49
3	WALKING_UPSTAIRS	0.260820	59	-0.032411	59	-0.110065	59	-0.313123	59	0.011628	59	-0.369755	59	0.883533	59	-0.382851	59	-0.162944	59	-0.944041	59	-0.909826	59	-0.909470	59	0.042688	59	0.039725	59	0.020821	59	-0.458365	59	-0.251680	59	-0.708552	59	0.072198	59	-0.139275	59	0.021560	59	-0.456039	59	-0.582743	59	-0.492327	59	-0.115511	59	-0.040037	59	-0.049818	59	-0.507271	59	-0.775774	59	-0.573434	59	-0.184015	59	-0.333597	59	-0.184015	59	-0.333597	59	-0.436901	59	-0.439021	59	-0.347322	59	-0.408887	59	-0.658861	59	-0.718028	59	-0.392004	59	-0.078809	59	-0.504495	59	-0.285333	59	-0.008040	59	-0.350797	59	-0.461250	59	-0.100019	59	-0.278896	59	-0.478434	59	-0.283773	59	-0.677315	59	-0.486447	59	-0.268192	59	-0.738706	59	-0.325151	59	-0.453790	59	-0.442664	59	-0.378217	59	-0.637294	59	-0.431503	59	-0.484821	59	-0.556046	59	-0.561098	59	-0.145536	59	-0.339321	59	-0.102014	59	-0.315866	59	-0.447994	59	0.023822	59	-0.412921	59	-0.480609	59	0.090494	59	-0.514212	59	-0.445182	59	-0.177731	59	-0.716878	59	-0.740033	59	0.075384	59	0.013489	59	0.115177	59	-0.263078	59	0.030399	59	-0.600971	59	0.346985	59	0.134294	59
5	LAYING	0.278334	52	-0.018304	52	-0.107938	52	-0.965935	52	-0.969296	52	-0.968563	52	-0.483471	52	0.954890	52	0.263645	52	-0.945695	52	-0.985964	52	-0.977077	52	0.084816	52	0.007475	52	-0.003041	52	-0.983308	52	-0.964560	52	-0.985419	52	-0.021894	52	-0.079871	52	0.159894	52	-0.979499	52	-0.977427	52	-0.960584	52	-0.102114	52	-0.040445	52	-0.070831	52	-0.983422	52	-0.983759	52	-0.989680	52	-0.966778	52	-0.958613	52	-0.966778	52	-0.958613	52	-0.980141	52	-0.977477	52	-0.946938	52	-0.958288	52	-0.986419	52	-0.983771	52	-0.968742	52	-0.965420	52	-0.977008	52	-0.964954	52	-0.972909	52	-0.965882	52	-0.135632	52	0.466528	52	0.132311	52	-0.982690	52	-0.965329	52	-0.983250	52	-0.985625	52	-0.966243	52	-0.986136	52	0.239915	52	0.195677	52	0.091694	52	-0.975797	52	-0.978250	52	-0.963203	52	-0.980706	52	-0.977258	52	-0.963306	52	-0.022724	52	0.068125	52	0.041360	52	-0.962235	52	-0.962525	52	0.292032	52	-0.977356	52	-0.976382	52	0.197005	52	-0.968257	52	-0.959263	52	0.102442	52	-0.984618	52	-0.983434	52	0.024737	52	0.021209	52	0.055365	52	-0.005813	52	-0.034442	52	0.598733	52	-0.825300	52	-0.168146	52
5	SITTING	0.273694	44	-0.009901	44	-0.108540	44	-0.980945	44	-0.904335	44	-0.926095	44	0.880731	44	0.168446	44	0.143007	44	-0.983138	44	-0.939943	44	-0.945009	44	0.074958	44	-0.002788	44	0.003386	44	-0.975205	44	-0.952786	44	-0.973437	44	-0.042236	44	-0.083548	44	0.082393	44	-0.966225	44	-0.950064	44	-0.940638	44	-0.088975	44	-0.045470	44	-0.048771	44	-0.966037	44	-0.975434	44	-0.964879	44	-0.937978	44	-0.920939	44	-0.937978	44	-0.920939	44	-0.969320	44	-0.965758	44	-0.934302	44	-0.931415	44	-0.973848	44	-0.970393	44	-0.977451	44	-0.921435	44	-0.946064	44	-0.982591	44	-0.902292	44	-0.921844	44	-0.020933	44	0.068459	44	0.040316	44	-0.976025	44	-0.954237	44	-0.969501	44	-0.976531	44	-0.954464	44	-0.976022	44	0.075736	44	-0.131862	44	-0.064496	44	-0.957117	44	-0.955460	44	-0.938003	44	-0.969390	44	-0.947571	44	-0.947346	44	0.125891	44	-0.187706	44	0.096683	44	-0.936291	44	-0.925669	44	0.058608	44	-0.964440	44	-0.966545	44	0.245937	44	-0.944760	44	-0.934747	44	-0.005784	44	-0.971598	44	-0.970675	44	0.081290	44	0.028704	44	-0.020953	44	-0.017875	44	-0.088593	44	-0.730102	44	-0.038449	44	-0.080686	44
5	STANDING	0.282544	56	-0.007004	56	-0.102171	56	-0.968592	56	-0.869440	56	-0.869327	56	0.960189	56	-0.038710	56	0.138638	56	-0.974088	56	-0.931974	56	-0.914608	56	0.072519	56	-0.002220	56	-0.012281	56	-0.962647	56	-0.931217	56	-0.963832	56	-0.032271	56	-0.050988	56	0.069095	56	-0.910395	56	-0.933738	56	-0.907472	56	-0.092225	56	-0.039911	56	-0.042222	56	-0.941930	56	-0.961178	56	-0.944755	56	-0.906105	56	-0.879774	56	-0.906105	56	-0.879774	56	-0.956864	56	-0.942962	56	-0.900672	56	-0.867042	56	-0.958406	56	-0.947971	56	-0.964501	56	-0.890796	56	-0.915084	56	-0.970668	56	-0.867933	56	-0.858231	56	-0.016407	56	-0.008944	56	-0.028288	56	-0.963059	56	-0.931370	56	-0.958439	56	-0.965779	56	-0.936203	56	-0.968072	56	0.150463	56	-0.143682	56	-0.033364	56	-0.909662	56	-0.939374	56	-0.907191	56	-0.912781	56	-0.931858	56	-0.916789	56	-0.178598	56	-0.162945	56	-0.109180	56	-0.904641	56	-0.886745	56	-0.016942	56	-0.941826	56	-0.943602	56	0.140972	56	-0.904544	56	-0.868914	56	-0.157769	56	-0.952286	56	-0.946196	56	-0.039314	56	-0.008609	56	-0.005722	56	0.086699	56	-0.082879	56	-0.862767	56	0.110446	56	-0.075451	56
5	WALKING	0.277842	56	-0.017285	56	-0.107742	56	-0.294099	56	0.076748	56	-0.457021	56	0.972625	56	-0.100440	56	0.002476	56	-0.979348	56	-0.961585	56	-0.964581	56	0.084589	56	-0.016319	56	0.000083	56	-0.302891	56	-0.091040	56	-0.612895	56	-0.048892	56	-0.069014	56	0.081544	56	-0.490877	56	-0.504622	56	-0.318701	56	-0.088841	56	-0.044956	56	-0.048268	56	-0.357681	56	-0.571438	56	-0.157683	56	-0.158339	56	-0.377179	56	-0.158339	56	-0.377179	56	-0.288333	56	-0.282242	56	-0.355933	56	-0.492177	56	-0.444532	56	-0.489200	56	-0.287783	56	0.009460	56	-0.490251	56	-0.297517	56	0.042603	56	-0.483060	56	-0.322382	56	-0.002041	56	0.024739	56	-0.344955	56	-0.181056	56	-0.590497	56	-0.321390	56	-0.054521	56	-0.633430	56	-0.359373	56	-0.534050	56	-0.344151	56	-0.372669	56	-0.513952	56	-0.213127	56	-0.529393	56	-0.502683	56	-0.420367	56	-0.045860	56	-0.019186	56	0.167458	56	-0.304992	56	-0.519637	56	0.149853	56	-0.269482	56	-0.305685	56	-0.004973	56	-0.484263	56	-0.589742	56	0.250621	56	-0.548054	56	-0.455665	56	0.052733	56	-0.032287	56	-0.011722	56	0.023736	56	-0.034894	56	-0.917114	56	0.152462	56	0.020034	56
5	WALKING_DOWNSTAIRS	0.293544	47	-0.008501	47	-0.100320	47	0.275046	47	0.090763	47	-0.325891	47	0.956649	47	-0.060758	47	0.021678	47	-0.950491	47	-0.912363	47	-0.927193	47	0.109651	47	0.013762	47	0.021340	47	0.032242	47	0.047361	47	-0.522652	47	-0.068295	47	-0.070781	47	0.080656	47	-0.460647	47	-0.409134	47	-0.227869	47	-0.110149	47	-0.070830	47	-0.039966	47	-0.411302	47	-0.514591	47	-0.034422	47	0.211139	47	0.205422	47	0.211139	47	0.205422	47	-0.063753	47	-0.029257	47	-0.218030	47	-0.360678	47	-0.397196	47	-0.450303	47	0.098432	47	0.079228	47	-0.374740	47	0.336555	47	0.026827	47	-0.353398	47	-0.453525	47	0.036366	47	-0.004372	47	-0.036801	47	-0.056803	47	-0.491980	47	0.011056	47	0.090172	47	-0.551178	47	-0.350912	47	-0.470995	47	-0.303523	47	-0.295345	47	-0.382483	47	-0.034175	47	-0.514941	47	-0.431553	47	-0.374705	47	-0.008923	47	-0.007642	47	0.211556	47	0.155742	47	0.042853	47	-0.013706	47	0.009184	47	-0.089736	47	0.110968	47	-0.349338	47	-0.484141	47	0.204634	47	-0.453697	47	-0.487128	47	0.072382	47	-0.039738	47	-0.041401	47	0.123686	47	-0.001404	47	-0.947117	47	0.125877	47	0.006481	47
5	WALKING_UPSTAIRS	0.268459	47	-0.032527	47	-0.107471	47	-0.045724	47	0.185022	47	-0.308939	47	0.936822	47	-0.265943	47	-0.023204	47	-0.953580	47	-0.900512	47	-0.921420	47	0.079544	47	0.014013	47	-0.025591	47	-0.223897	47	-0.125027	47	-0.638369	47	0.039519	47	-0.117196	47	0.042444	47	-0.443342	47	-0.440346	47	-0.265451	47	-0.143030	47	-0.055990	47	-0.053490	47	-0.305245	47	-0.631822	47	-0.282154	47	0.043556	47	-0.136736	47	0.043556	47	-0.136736	47	-0.247403	47	-0.310187	47	-0.235517	47	-0.354688	47	-0.473488	47	-0.557988	47	-0.161485	47	0.072890	47	-0.457471	47	-0.004738	47	0.165038	47	-0.289257	47	-0.427706	47	-0.122487	47	-0.135265	47	-0.289725	47	-0.196818	47	-0.606717	47	-0.225328	47	-0.105311	47	-0.668826	47	-0.397836	47	-0.577009	47	-0.339641	47	-0.263615	47	-0.516609	47	-0.139801	47	-0.501686	47	-0.403486	47	-0.380378	47	-0.061580	47	-0.138064	47	0.060813	47	-0.169262	47	-0.254092	47	-0.020495	47	-0.264675	47	-0.378617	47	0.124513	47	-0.392565	47	-0.440445	47	-0.023400	47	-0.571344	47	-0.572485	47	0.005786	47	-0.020422	47	-0.077229	47	-0.293346	47	0.112447	47	-0.754346	47	0.266611	47	0.037869	47
6	LAYING	0.248657	57	-0.010253	57	-0.133120	57	-0.934049	57	-0.924645	57	-0.925216	57	-0.476710	57	0.956594	57	0.175868	57	-0.887746	57	-0.959162	57	-0.928131	57	0.096348	57	-0.001145	57	0.003288	57	-0.966341	57	-0.933674	57	-0.959646	57	-0.007961	57	-0.107218	57	0.179102	57	-0.955378	57	-0.943635	57	-0.939142	57	-0.111267	57	-0.042410	57	-0.071777	57	-0.939612	57	-0.958629	57	-0.959579	57	-0.918879	57	-0.897326	57	-0.918879	57	-0.897326	57	-0.954751	57	-0.950342	57	-0.908980	57	-0.920914	57	-0.955646	57	-0.953157	57	-0.939114	57	-0.923707	57	-0.938045	57	-0.932463	57	-0.929711	57	-0.924005	57	-0.219730	57	0.348419	57	0.161458	57	-0.967072	57	-0.936043	57	-0.954426	57	-0.968619	57	-0.935717	57	-0.963568	57	0.011473	57	-0.022203	57	0.078468	57	-0.935440	57	-0.941772	57	-0.932637	57	-0.962165	57	-0.945365	57	-0.947137	57	0.102549	57	0.023657	57	0.044523	57	-0.912352	57	-0.905374	57	0.144605	57	-0.948655	57	-0.951553	57	0.182525	57	-0.930154	57	-0.928695	57	0.119318	57	-0.953696	57	-0.955505	57	0.163765	57	0.004989	57	0.032217	57	0.085939	57	-0.035057	57	0.593394	57	-0.874568	57	-0.106624	57
6	SITTING	0.276778	55	-0.014591	55	-0.110128	55	-0.980165	55	-0.923682	55	-0.925797	55	0.933693	55	0.068263	55	0.069522	55	-0.988872	55	-0.960876	55	-0.955476	55	0.075472	55	0.000003	55	0.006237	55	-0.969929	55	-0.945144	55	-0.958573	55	-0.037244	55	-0.089908	55	0.085435	55	-0.957368	55	-0.944130	55	-0.939681	55	-0.093669	55	-0.033399	55	-0.046550	55	-0.943715	55	-0.961781	55	-0.958788	55	-0.949544	55	-0.931573	55	-0.949544	55	-0.931573	55	-0.962734	55	-0.948182	55	-0.932704	55	-0.921259	55	-0.962929	55	-0.950151	55	-0.975351	55	-0.928264	55	-0.935798	55	-0.982451	55	-0.925677	55	-0.925768	55	0.003047	55	0.123382	55	0.081846	55	-0.971037	55	-0.947071	55	-0.954200	55	-0.971489	55	-0.946880	55	-0.961637	55	0.099940	55	-0.150934	55	-0.091348	55	-0.939671	55	-0.943857	55	-0.934765	55	-0.963407	55	-0.944901	55	-0.947327	55	0.139410	55	-0.129239	55	0.043810	55	-0.935750	55	-0.939547	55	0.128902	55	-0.948349	55	-0.947305	55	0.171845	55	-0.929726	55	-0.929549	55	0.046174	55	-0.952035	55	-0.951197	55	0.121847	55	0.002328	55	-0.023816	55	0.047927	55	-0.035148	55	-0.784772	55	0.036051	55	-0.027823	55
6	STANDING	0.280346	57	-0.018124	57	-0.112173	57	-0.981758	57	-0.921493	57	-0.925692	57	0.945139	57	-0.230251	57	0.013919	57	-0.985583	57	-0.968449	57	-0.942795	57	0.073070	57	0.008719	57	-0.004817	57	-0.973133	57	-0.949362	57	-0.967547	57	-0.028252	57	-0.058982	57	0.076739	57	-0.947561	57	-0.942487	57	-0.947782	57	-0.103293	57	-0.042883	57	-0.050643	57	-0.946424	57	-0.962422	57	-0.962758	57	-0.945023	57	-0.939310	57	-0.945023	57	-0.939310	57	-0.967102	57	-0.956099	57	-0.939405	57	-0.915892	57	-0.963406	57	-0.952536	57	-0.977100	57	-0.930336	57	-0.942864	57	-0.984067	57	-0.921449	57	-0.922067	57	0.066452	57	-0.086632	57	0.020882	57	-0.973481	57	-0.951405	57	-0.963744	57	-0.975236	57	-0.950681	57	-0.969896	57	0.186559	57	-0.251014	57	-0.071534	57	-0.931612	57	-0.943273	57	-0.943240	57	-0.952817	57	-0.942539	57	-0.954456	57	-0.114716	57	-0.195978	57	-0.077875	57	-0.945950	57	-0.944564	57	0.037354	57	-0.955914	57	-0.955382	57	0.190944	57	-0.926664	57	-0.923109	57	-0.070120	57	-0.955425	57	-0.952088	57	0.027625	57	0.012349	57	-0.007379	57	0.067269	57	0.058694	57	-0.759500	57	0.240855	57	0.012127	57
6	WALKING	0.283659	57	-0.016895	57	-0.110303	57	-0.296539	57	0.164214	57	-0.504324	57	0.958067	57	-0.214695	57	0.033189	57	-0.977780	57	-0.964249	57	-0.957205	57	0.069959	57	-0.016483	57	-0.007389	57	-0.132785	57	0.008089	57	-0.575777	57	-0.025510	57	-0.074446	57	0.083881	57	-0.446021	57	-0.331702	57	-0.383139	57	-0.087889	57	-0.036231	57	-0.053960	57	-0.182601	57	-0.416390	57	-0.166684	57	-0.166841	57	-0.266734	57	-0.166841	57	-0.266734	57	-0.195117	57	-0.070603	57	-0.281208	57	-0.365603	57	-0.321290	57	-0.364708	57	-0.187934	57	0.140782	57	-0.498520	57	-0.345228	57	0.101700	57	-0.550475	57	-0.196842	57	0.022073	57	0.185107	57	-0.150943	57	-0.075374	57	-0.541439	57	-0.192695	57	0.031445	57	-0.608624	57	-0.178295	57	-0.466306	57	-0.104129	57	-0.239651	57	-0.341378	57	-0.203575	57	-0.515324	57	-0.332009	57	-0.512209	57	0.091241	57	0.041627	57	0.302875	57	-0.201387	57	-0.421683	57	0.200090	57	-0.055401	57	-0.096500	57	-0.009229	57	-0.329681	57	-0.510648	57	0.293110	57	-0.366501	57	-0.408079	57	0.100925	57	-0.068035	57	0.005595	57	-0.051058	57	-0.081882	57	-0.806205	57	0.230444	57	-0.001304	57
6	WALKING_DOWNSTAIRS	0.277045	48	-0.019537	48	-0.107209	48	0.383682	48	0.360165	48	-0.320204	48	0.928531	48	-0.214046	48	-0.003080	48	-0.954406	48	-0.933578	48	-0.934379	48	0.103681	48	0.009877	48	-0.009325	48	0.165271	48	0.276544	48	-0.336817	48	-0.096084	48	-0.034178	48	0.087001	48	-0.198304	48	-0.189230	48	-0.094080	48	-0.025645	48	-0.076809	48	-0.037223	48	0.039339	48	-0.193508	48	0.193206	48	0.333755	48	0.373612	48	0.333755	48	0.373612	48	0.103845	48	0.209502	48	0.014268	48	-0.042628	48	-0.082937	48	-0.111228	48	0.328309	48	0.339771	48	-0.277603	48	0.403370	48	0.283248	48	-0.406014	48	-0.411649	48	0.021911	48	0.306253	48	0.136555	48	0.137202	48	-0.283086	48	0.088652	48	0.341242	48	-0.389057	48	-0.315758	48	-0.484344	48	-0.034825	48	0.063372	48	-0.130327	48	0.152845	48	-0.286725	48	-0.235471	48	-0.275667	48	0.001504	48	0.151126	48	0.302964	48	0.395958	48	0.144623	48	0.106479	48	0.243834	48	0.154809	48	-0.001607	48	-0.014374	48	-0.242354	48	0.230693	48	-0.132705	48	-0.145734	48	0.036946	48	-0.045309	48	-0.035837	48	0.312707	48	-0.207129	48	-0.804077	48	0.232772	48	0.023962	48
6	WALKING_UPSTAIRS	0.268229	51	-0.027243	51	-0.122082	51	-0.050135	51	0.189276	51	-0.353520	51	0.913632	51	-0.340733	51	-0.018461	51	-0.959399	51	-0.912901	51	-0.906196	51	0.072107	51	0.003713	51	-0.002378	51	-0.180301	51	-0.041399	51	-0.560831	51	-0.076741	51	-0.051898	51	0.066423	51	-0.321974	51	-0.315800	51	-0.183900	51	-0.065202	51	-0.045771	51	-0.057680	51	-0.186763	51	-0.486494	51	-0.170815	51	0.017779	51	-0.079151	51	0.017779	51	-0.079151	51	-0.207380	51	-0.169970	51	-0.129121	51	-0.199894	51	-0.342895	51	-0.440080	51	-0.131075	51	0.097804	51	-0.427248	51	-0.021134	51	0.159124	51	-0.365874	51	-0.445121	51	-0.094883	51	-0.066787	51	-0.244813	51	-0.122992	51	-0.549315	51	-0.186815	51	-0.016981	51	-0.571674	51	-0.441959	51	-0.501170	51	-0.401684	51	-0.115065	51	-0.329654	51	-0.046414	51	-0.390248	51	-0.313619	51	-0.309998	51	-0.055914	51	-0.129471	51	0.010293	51	-0.081948	51	-0.222161	51	-0.014015	51	-0.169868	51	-0.177735	51	-0.061238	51	-0.230627	51	-0.318174	51	0.014481	51	-0.459236	51	-0.455938	51	0.028505	51	0.008641	51	0.003211	51	0.128194	51	-0.099365	51	-0.679096	51	0.318508	51	0.034533	51
7	LAYING	0.250177	52	-0.020441	52	-0.101361	52	-0.936514	52	-0.926263	52	-0.952978	52	-0.502814	52	0.393444	52	0.907538	52	-0.914221	52	-0.955544	52	-0.961909	52	0.096890	52	0.025062	52	-0.013165	52	-0.980978	52	-0.973093	52	-0.972983	52	-0.002826	52	-0.133606	52	0.155920	52	-0.960127	52	-0.945072	52	-0.955295	52	-0.105944	52	-0.035890	52	-0.067190	52	-0.973837	52	-0.976484	52	-0.988872	52	-0.936392	52	-0.907040	52	-0.936392	52	-0.907040	52	-0.980127	52	-0.967311	52	-0.915794	52	-0.918662	52	-0.983009	52	-0.971205	52	-0.953424	52	-0.942194	52	-0.958612	52	-0.931121	52	-0.922918	52	-0.953381	52	-0.635913	52	-0.043829	52	0.237112	52	-0.980393	52	-0.972532	52	-0.969525	52	-0.983560	52	-0.975886	52	-0.975073	52	0.020716	52	-0.045134	52	0.094561	52	-0.953685	52	-0.957570	52	-0.956905	52	-0.962348	52	-0.939728	52	-0.958876	52	-0.139745	52	-0.453726	52	0.014468	52	-0.927977	52	-0.910542	52	-0.129091	52	-0.968066	52	-0.965359	52	0.217605	52	-0.941131	52	-0.918893	52	-0.265784	52	-0.974118	52	-0.969403	52	0.104423	52	0.036448	52	0.019923	52	0.063016	52	0.048624	52	0.612488	52	-0.207519	52	-0.808554	52
7	SITTING	0.284675	48	-0.014611	48	-0.122465	48	-0.972668	48	-0.909455	48	-0.856533	48	0.969148	48	0.006088	48	0.064964	48	-0.957082	48	-0.945436	48	-0.868603	48	0.066852	48	0.011686	48	0.016200	48	-0.982158	48	-0.969459	48	-0.972256	48	-0.049638	48	-0.033612	48	0.025948	48	-0.941871	48	-0.944124	48	-0.937021	48	-0.093816	48	-0.039644	48	-0.045457	48	-0.974369	48	-0.981025	48	-0.980955	48	-0.918432	48	-0.881958	48	-0.918432	48	-0.881958	48	-0.976560	48	-0.970243	48	-0.897871	48	-0.898063	48	-0.981665	48	-0.976214	48	-0.972697	48	-0.931491	48	-0.904675	48	-0.972880	48	-0.904629	48	-0.844083	48	-0.033431	48	0.014717	48	-0.101766	48	-0.982037	48	-0.969424	48	-0.968504	48	-0.984026	48	-0.971815	48	-0.974699	48	0.180133	48	-0.081502	48	-0.085753	48	-0.943632	48	-0.956678	48	-0.947420	48	-0.942726	48	-0.938245	48	-0.939826	48	-0.071630	48	-0.308762	48	-0.018774	48	-0.908957	48	-0.886916	48	-0.011233	48	-0.970954	48	-0.968495	48	0.181230	48	-0.933082	48	-0.895805	48	-0.142831	48	-0.978635	48	-0.974966	48	0.055364	48	0.013637	48	-0.038751	48	-0.018370	48	-0.032758	48	-0.930654	48	0.079732	48	-0.023808	48
